university_name,teaching,international,research,citations_times,income,total_score_times,num_students,student_staff_ratio,international_students,female_male_ratio,year_times,national_rank_times,national_rank_cwur,quality_of_education,alumni_employment,quality_of_faculty,publications,influence,citations_cwur,broad_impact,patents,total_score_cwur,year_cwur,national_rank_shang,total_score_shang,alumni,award,hici,ns,pub,pcp,year_shang,weighted_score,weighted_rank
University Utah,35.6,30.1,35.3,83.7,57.4,50.1,"25,674",16.9,9%,45 : 55,2016,56,44,97,105,67,97,65,101,90.0,19,52.89,2015,47,24.5,0.0,11.5,26.5,25.5,46.7,18.7,2015,0.46,27
Arizona State University,32.4,31.9,38.1,84.6,32.0,49.7,"83,236",29.9,9%,50 : 50,2016,58,55,367,455,66,143,85,76,140.0,21,51.13,2015,47,24.5,0.0,20.0,22.2,25.5,42.6,19.1,2015,0.45,28
University Miami,41.7,64.0,22.3,90.1,35.5,51.9,"15,286",5.7,14%,50 : 50,2016,52,64,367,241,218,159,130,82,112.0,73,49.09,2015,66,20.0,0.0,0.0,22.0,14.7,39.5,14.8,2015,0.45,28
University California Riverside,27.5,59.5,33.3,91.2,42.5,51.1,"20,626",22.0,12%,51 : 49,2016,55,89,247,567,218,209,113,161,169.0,194,47.13,2015,52,20.0,12.6,0.0,24.7,23.9,32.2,27.5,2015,0.44,29
Yeshiva University,44.8,28.5,23.7,92.8,-,51.2,"6,753",5.5,7%,53 : 47,2016,54,76,200,567,218,195,91,161,109.0,128,48.11,2015,79,20.0,0.0,0.0,6.3,21.7,31.5,21.6,2015,0.44,29
Boston College,34.1,60.0,29.3,83.3,46.8,49.6,"13,216",17.4,19%,54 : 46,2016,59,120,367,97,218,557,363,197,402.0,386,45.65,2015,126,20.0,0.0,0.0,8.6,14.1,22.3,15.0,2015,0.42,30
Brandeis University,28.3,47.0,25.7,97.3,38.6,49.9,"5,495",12.6,22%,55 : 45,2016,57,107,51,342,78,549,195,428,330.0,249,46.29,2015,79,20.0,19.2,0.0,8.6,18.8,18.4,24.8,2015,0.42,30
Drexel University,31.2,46.3,14.6,57.7,36.3,40.0,"20,713",10.8,18%,48 : 52,2016,64,99,367,233,218,362,338,287,273.0,91,46.43,2015,103,20.0,0.0,0.0,12.3,10.3,29.5,19.2,2015,0.38,31
Florida State University,38.5,41.6,40.1,64.7,32.0,40.0,"41,226",31.8,7%,55 : 45,2016,61,96,367,334,218,200,184,136,225.0,411,46.53,2015,79,20.0,0.0,0.0,14.6,16.2,37.9,19.4,2015,0.38,31
George Washington University,44.7,48.1,23.5,65.7,29.5,40.0,"20,541",12.0,16%,56 : 44,2016,61,87,192,56,218,301,227,264,235.0,326,47.46,2015,79,20.0,11.5,0.0,6.3,12.0,35.5,17.9,2015,0.38,31
Iowa State University,31.2,35.4,29.4,61.5,54.0,40.0,"29,991",17.4,11%,44 : 56,2016,62,81,286,186,109,151,178,82,184.0,339,47.71,2015,66,20.0,0.0,0.0,20.1,17.1,39.3,19.8,2015,0.38,31
Northeastern University,35.5,58.7,20.6,84.0,32.9,40.0,"18,539",15.1,26%,50 : 50,2016,61,108,316,125,218,370,312,264,362.0,86,46.29,2015,79,20.0,0.0,0.0,15.9,16.5,29.9,20.7,2015,0.38,31
Oregon State University,30.6,42.8,28.5,63.8,32.1,40.0,"22,578",16.8,9%,47 : 53,2016,62,101,189,239,218,263,148,161,235.0,389,46.42,2015,66,20.0,10.3,0.0,23.0,21.2,34.7,22.7,2015,0.38,31
Rensselaer Polytechnic Institute,30.4,40.3,31.5,65.1,79.6,40.0,"6,671",15.0,16%,30 : 70,2016,62,110,137,142,218,402,346,182,292.0,210,46.19,2015,103,20.0,12.6,0.0,13.9,12.0,22.1,23.5,2015,0.38,31
Rush University,37.7,21.8,17.4,88.9,45.4,40.0,"1,855",2.1,5%,71 : 29,2016,61,118,367,567,218,427,404,197,260.0,871,45.71,2015,126,20.0,0.0,0.0,10.7,6.7,24.9,16.6,2015,0.38,31
Stony Brook University,32.6,53.2,22.0,83.0,33.4,40.0,"21,908",10.9,24%,50 : 50,2016,61,65,186,567,58,173,84,93,134.0,96,49.09,2015,79,20.0,0.0,0.0,14.8,18.4,36.0,16.7,2015,0.38,31
Tulane University,39.1,35.3,19.3,67.8,32.4,40.0,"11,381",8.4,8%,56 : 44,2016,62,105,324,144,218,365,299,264,251.0,258,46.31,2015,103,20.0,0.0,0.0,12.2,8.7,26.1,15.0,2015,0.38,31
University Cincinnati,31.3,28.3,20.4,72.1,35.3,40.0,"36,108",15.7,6%,54 : 46,2016,63,72,188,86,218,150,171,128,127.0,263,48.56,2015,79,20.0,0.0,0.0,22.6,9.2,37.9,15.0,2015,0.38,31
University Connecticut,35.9,43.1,25.6,57.0,30.9,40.0,"25,742",13.0,11%,51 : 49,2016,63,90,296,259,218,168,193,197,190.0,186,47.06,2015,103,20.0,11.5,0.0,8.0,8.6,35.0,13.4,2015,0.38,31
University Delaware,23.7,41.6,34.0,70.0,98.7,40.0,"19,262",15.9,10%,56 : 44,2016,62,109,318,337,135,272,304,234,292.0,120,46.21,2015,66,20.0,10.3,16.3,20.1,10.0,30.8,19.0,2015,0.38,31
University Georgia,41.1,39.2,30.5,52.2,30.9,40.0,"33,119",19.9,7%,57 : 43,2016,62,86,93,188,172,181,132,234,256.0,82,47.5,2015,66,20.0,0.0,0.0,20.6,16.7,42.1,18.1,2015,0.38,31
University Houston,34.9,33.9,26.5,52.0,42.3,40.0,"40,325",43.7,9%,50 : 50,2016,64,80,367,42,218,310,257,511,349.0,156,47.83,2015,79,20.0,0.0,0.0,17.3,13.4,35.9,20.2,2015,0.38,31
University Illinois Chicago,40.9,58.1,29.2,63.2,38.0,40.0,"24,313",9.2,17%,53 : 47,2016,61,88,367,541,218,126,196,287,179.0,129,47.39,2015,66,20.0,0.0,0.0,21.0,14.5,43.7,17.8,2015,0.38,31
University Iowa,41.0,32.3,26.7,73.5,54.1,40.0,"27,526",11.6,11%,52 : 48,2016,61,67,233,296,167,103,83,115,112.0,121,49.01,2015,66,20.0,0.0,0.0,20.3,18.8,44.7,17.5,2015,0.38,31
University Oregon,21.2,33.5,22.7,72.6,30.8,40.0,"24,418",20.2,11%,52 : 48,2016,63,122,346,567,218,378,217,161,295.0,729,45.55,2015,103,20.0,8.9,0.0,10.1,14.8,27.3,18.3,2015,0.38,31
University South Florida,24.8,45.1,35.7,73.4,99.8,40.0,"31,424",21.5,10%,,2016,61,83,367,418,218,233,251,197,164.0,70,47.66,2015,79,20.0,0.0,0.0,16.3,10.4,40.2,18.5,2015,0.38,31
University Tennessee Knoxville,29.5,39.3,23.2,81.4,41.3,40.0,"24,716",17.0,5%,,2016,62,92,319,117,218,196,187,197,219.0,449,46.96,2015,66,20.0,10.3,0.0,17.9,14.2,39.2,15.1,2015,0.38,31
University Texas Dallas,24.3,52.3,26.7,86.8,41.8,40.0,"16,306",22.8,23%,44 : 56,2016,61,66,367,159,218,250,151,59,49.0,313,49.05,2015,103,20.0,0.0,0.0,10.1,11.8,27.6,21.9,2015,0.38,31
Virginia Polytechnic Institute And State University,34.9,29.5,38.2,54.2,43.3,40.0,"30,850",18.6,10%,42 : 58,2016,62,98,283,152,218,201,264,234,285.0,181,46.46,2015,79,20.0,11.5,0.0,11.4,11.4,40.9,17.4,2015,0.38,31
Wake Forest University,34.6,24.2,19.5,94.8,42.5,40.0,"7,326",4.6,5%,51 : 49,2016,61,73,265,83,218,249,244,128,125.0,124,48.52,2015,126,20.0,0.0,0.0,14.9,7.5,25.0,11.9,2015,0.38,31
Wayne State University,31.9,29.6,14.2,65.3,41.7,40.0,"23,065",10.7,7%,57 : 43,2016,64,82,367,183,218,189,258,125,176.0,117,47.67,2015,103,20.0,0.0,0.0,3.6,9.3,38.1,14.2,2015,0.38,31
Auburn University,30.2,27.9,19.4,21.0,37.2,40.0,"22,386",17.6,4%,51 : 49,2016,66,167,367,232,218,472,569,368,606.0,425,44.63,2015,126,20.0,0.0,0.0,8.6,6.3,28.2,13.3,2015,0.37,32
Clemson University,21.4,34.6,19.7,27.0,35.8,40.0,"19,198",17.1,8%,46 : 54,2016,67,155,367,535,218,433,497,645,396.0,510,44.83,2015,126,20.0,0.0,0.0,6.3,7.8,26.3,14.4,2015,0.37,32
Florida International University,25.7,32.8,18.1,49.4,32.7,40.0,"32,566",25.9,7%,56 : 44,2016,65,179,367,567,218,496,508,428,540.0,585,44.5,2015,126,20.0,0.0,0.0,5.0,6.2,28.3,15.8,2015,0.37,32
George Mason University,29.6,36.9,21.2,64.9,29.1,40.0,"26,622",17.0,7%,54 : 46,2016,63,140,367,567,98,450,371,264,388.0,526,45.13,2015,66,20.0,0.0,31.9,5.1,8.9,28.7,18.5,2015,0.37,32
Kansas State University,22.9,41.7,17.5,39.3,43.1,40.0,"21,379",15.1,10%,50 : 50,2016,66,125,130,229,218,373,320,212,358.0,294,45.47,2015,126,20.0,0.0,0.0,7.1,10.5,27.9,13.9,2015,0.37,32
Saint Louis University,36.9,26.6,10.9,85.0,29.9,40.0,"11,919",5.8,8%,58 : 42,2016,62,129,367,261,202,458,293,428,330.0,286,45.39,2015,126,20.0,0.0,11.5,5.1,5.0,24.2,11.8,2015,0.37,32
San Diego State University,20.3,25.9,27.0,62.7,29.3,40.0,"27,420",31.7,5%,57 : 43,2016,64,128,248,204,218,467,302,264,339.0,509,45.41,2015,103,20.0,0.0,0.0,14.3,10.1,24.2,16.2,2015,0.37,32
Syracuse University,31.4,38.3,20.8,77.1,36.3,40.0,"19,660",15.9,15%,55 : 45,2016,62,150,138,221,218,453,494,428,495.0,392,44.91,2015,126,20.0,0.0,0.0,8.1,8.0,25.2,13.4,2015,0.37,32
Temple University,34.0,28.6,18.2,58.3,41.6,40.0,"33,268",13.3,5%,51 : 49,2016,64,133,272,553,218,326,349,511,349.0,211,45.29,2015,103,20.0,0.0,0.0,13.3,7.0,34.3,12.6,2015,0.37,32
University Alaska Fairbanks,25.1,53.5,23.1,63.0,51.2,40.0,"3,837",8.2,7%,53 : 47,2016,63,176,367,420,218,642,373,511,520.0,792,44.53,2015,126,20.0,0.0,0.0,12.2,11.7,19.3,15.7,2015,0.37,32
University Maryland Baltimore County,21.3,28.2,18.2,61.3,31.7,40.0,"13,908",18.1,7%,46 : 54,2016,65,158,367,567,218,587,391,428,402.0,423,44.8,2015,126,20.0,0.0,0.0,17.4,6.5,17.8,17.3,2015,0.37,32
